DATE,LRHUTTTTAUM156S
1978-02-01,6.6454455
1978-03-01,6.3035551
1978-04-01,6.2682302
1978-05-01,6.2102645
1978-06-01,6.3042519
1978-07-01,6.2233596
1978-08-01,6.4909305
1978-09-01,6.2522883
1978-10-01,6.1642055
1978-11-01,6.332795
1978-12-01,6.4065734
1979-01-01,6.3716193
1979-02-01,6.2577165
1979-03-01,6.3037718
1979-04-01,6.4991508
1979-05-01,6.2044673
1979-06-01,6.2520676
1979-07-01,6.274166
1979-08-01,6.118843
1979-09-01,6.2346846
1979-10-01,6.384868
1979-11-01,6.0462952
1979-12-01,6.1213222
1980-01-01,6.147255
1980-02-01,5.9993492
1980-03-01,5.9371938
1980-04-01,6.1158566
1980-05-01,6.2467588
1980-06-01,6.3237116
1980-07-01,6.077438
1980-08-01,6.1777996
1980-09-01,6.1426731
1980-10-01,6.0560508
1980-11-01,5.8515087
1980-12-01,6.0522188
1981-01-01,5.9173359
1981-02-01,5.6171996
1981-03-01,5.7466788
1981-04-01,5.5556027
1981-05-01,5.589535
1981-06-01,5.3746064
1981-07-01,5.828084
1981-08-01,5.8467876
1981-09-01,5.8135315
1981-10-01,5.8732073
1981-11-01,5.9963516
1981-12-01,6.0281753
1982-01-01,5.9834847
1982-02-01,6.3090466
1982-03-01,6.3236443
1982-04-01,6.334493
1982-05-01,6.5935172
1982-06-01,6.7675968
1982-07-01,6.8842451
1982-08-01,7.0123552
1982-09-01,7.4308296
1982-10-01,8.2958296
1982-11-01,8.6804146
1982-12-01,9.4032337
1983-01-01,9.3011613
1983-02-01,9.6594725
1983-03-01,9.9519839
1983-04-01,10.1531062
1983-05-01,10.3238434
1983-06-01,10.2036976
1983-07-01,10.5082107
1983-08-01,10.2200394
1983-09-01,10.3391257
1983-10-01,10.0085741
1983-11-01,9.6551669
1983-12-01,9.458478
1984-01-01,9.4993406
1984-02-01,9.3864213
1984-03-01,9.2089738
1984-04-01,9.371353
1984-05-01,8.937453
1984-06-01,9.0961417
1984-07-01,8.9083688
1984-08-01,8.8295733
1984-09-01,8.7358726
1984-10-01,8.6960673
1984-11-01,8.6797353
1984-12-01,8.5205326
1985-01-01,8.5511573
1985-02-01,8.3900499
1985-03-01,8.6664503
1985-04-01,8.4034386
1985-05-01,8.376819
1985-06-01,8.5711956
1985-07-01,8.29873
1985-08-01,8.156495
1985-09-01,8.0582957
1985-10-01,7.8490028
1985-11-01,7.9508942
1985-12-01,7.7853459
1986-01-01,7.8059265
1986-02-01,8.0035496
1986-03-01,7.9288384
1986-04-01,7.901755
1986-05-01,7.8472566
1986-06-01,7.6538978
1986-07-01,8.1136278
1986-08-01,8.2401739
1986-09-01,8.3389906
1986-10-01,8.3100966
1986-11-01,8.319279
1986-12-01,8.363758
1987-01-01,8.1870413
1987-02-01,8.2115335
1987-03-01,8.4373132
1987-04-01,8.3010074
1987-05-01,8.2023456
1987-06-01,8.0091541
1987-07-01,8.0807294
1987-08-01,8.1061505
1987-09-01,7.7558389
1987-10-01,8.086071
1987-11-01,7.9315204
1987-12-01,7.7282366
1988-01-01,7.6317195
1988-02-01,7.417305
1988-03-01,7.5066902
1988-04-01,7.9137564
1988-05-01,7.4516935
1988-06-01,7.5693009
1988-07-01,6.7614265
1988-08-01,7.0691224
1988-09-01,6.9348396
1988-10-01,6.8179173
1988-11-01,6.613067
1988-12-01,6.8325537
1989-01-01,6.8079991
1989-02-01,6.6380541
1989-03-01,6.3404338
1989-04-01,6.2007542
1989-05-01,6.2801317
1989-06-01,6.0125677
1989-07-01,6.0476485
1989-08-01,5.9446246
1989-09-01,6.0314757
1989-10-01,5.9242293
1989-11-01,5.7869714
1989-12-01,5.8479996
1990-01-01,6.1131239
1990-02-01,6.3919085
1990-03-01,6.1851146
1990-04-01,6.2797075
1990-05-01,6.5047245
1990-06-01,6.6093537
1990-07-01,7.0894775
1990-08-01,7.2122509
1990-09-01,7.3747738
1990-10-01,7.6373335
1990-11-01,7.9462882
1990-12-01,8.0190914
1991-01-01,8.3973197
1991-02-01,8.6172193
